,index,Autonomie,Batterie amovible,Capacité de la batterie,Charge de la batterie par USB-C,Chipset,Chipset graphique,Clavier RGB,Clavier rétroéclairé,Configuration disque(s),Connecteur(s) disponible(s),Couleur,DAS membres,DAS tronc,Dalle brillante,Dalle mate/antireflets,Disque fourni,Disque secondaire,Documentation,Désignation,Ecran large,Ecran tactile,Emplacement(s) libre(s) pour disque dur,Epaisseur,Epaisseur Arrière,Epaisseur Avant,Famille OS,Format de l'écran,Fréquence CPU,Fréquence(s) Mémoire,GPU series,Gamme,Garantie commerciale,Garantie légale,Hybride / Convertible,Indice réparabilité (sur 10),Intel Evo,Interface du disque dur,Langue de l'OS,Largeur,Lecteur Optique,Lecteur biométrique,Lecteur de cartes,Localisation,Luminosité,Marque,Marque processeur,Matériau,Max-Q (Design GPU),Modèle,NPU (Neural Processing Unit),NVIDIA G-SYNC,NVIDIA Studio,Nombre de barrettes,Nombre de cellules,Nombre de core,Nombre de disques,Nombre de disques max,Nombre de slots mémoire disponibles,Norme du clavier,Norme(s) réseau,Norme(s) réseau sans-fil,Office fourni,Pavé numérique,Performances NPU (en milliard d'opérations par seconde),Plateforme (Proc.),Poids,Processeur,Profondeur,Résolution Max,Sans-fil,Système d'exploitation,Système d'exploitation fourni,TGP (Total Graphics Power),Taille de l'écran,Taille de la mémoire,Taille de mémoire Max,Taille mémoire vidéo,Taux de rafraîchissement,Technologie Bluetooth,Technologie Intel vPro,Type d'écran,Type de Dalle,Type de Disque,Type de H.P,Type de mémoire,Type de processeur,Type mémoire vidéo,Ultrabook,VR Ready (réalité virtuelle),Webcam,img_url,price,url,name,Gamme Macbook,Année de sortie,Capacité,Graveur DVD,Type de lecteur / graveur,Microphone intégré,Touches Multimédia,Sortie HDMI,Capacité du chargeur,Bureautique,Gamer,Graphisme,Internet,Multimédia,Professionnel,reference CPU,CPU_benchmark_single_core,CPU_benchmark_multi_core,reference GPU,geekbench,3d_mark,price_float,CPU_multi_core_score_by_euro,GPU_CPU_score_by_euro
0,0,7.5                            Heure(s),Non,45                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 960 Go,"1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, RJ45",Gris,0.2                            W/kg,0.2                            W/kg,Non,Oui,SSD 960 Go,Sans disque secondaire,Consulter la documentation,Altyk L14F-I7U16-N1,Oui,Non,,17.9                            mm,,,Microsoft Windows 11,16/9,4.7                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L14,5 ans vendeur,Voir les modalités,Non,8.0,Non,M.2 - PCI-E 3.0 4x,Français,325                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,300                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L14F-I7U16-N1-2,,Non,Non,2.0,2.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Non,,Intel Alder Lake-S,1.4                            kg,Intel Core i7,214.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Famille,Oui,,14                            pouces,16                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i7-1255U (2 Performance-cores 4.7 GHz + 8 Efficient-cores - 3.5 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006187870.jpg,879€95,https://www.ldlc.com/fiche/PB00654242.html,,,,,,,,,,,1,0,0,0,1,0,Core i7 1255U,1656,8285,Intel Iris Xe Graphics,1.0,1,879.95,9.415307687936814,0.001136428206148
1,1,7.5                            Heure(s),Non,45                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 1920 Go,"1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, RJ45",Gris,0.2                            W/kg,0.2                            W/kg,Non,Oui,SSD 1920 Go,Sans disque secondaire,Consulter la documentation,Altyk L14F-I7U32-N2,Oui,Non,,17.9                            mm,,,Microsoft Windows 11,16/9,4.7                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L14,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,8.0,Non,M.2 - PCI-E 3.0 4x,Français,325                            mm,Aucun,Oui,"micro SD, micro SDHC, micro SDXC",Français,300                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L14F-I7U32-N2-2,,Non,Non,2.0,2.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Non,,Intel Alder Lake-S,1.4                            kg,Intel Core i7,214.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Famille,Oui,,14                            pouces,32                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i7-1255U (2 Performance-cores 4.7 GHz + 8 Efficient-cores - 3.5 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006107390_0006170813.jpg,1049€95,https://www.ldlc.com/fiche/PB00643995.html,,,,,,,,,,,1,0,0,0,1,0,Core i7 1255U,1656,8285,Intel Iris Xe Graphics,1.0,1,1049.95,7.89085194533073,0.0009524263060145
2,2,7.5                            Heure(s),Non,45                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 960 Go,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,0.2                            W/kg,0.2                            W/kg,Non,Oui,SSD 960 Go,Sans disque secondaire,Consulter la documentation,Altyk L14P-I5U16-N1,Oui,Non,,17.9                            mm,,,Microsoft Windows 11,16/9,4.4                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L14,5 ans vendeur,Voir les modalités,Non,7.9,Non,M.2 - PCI-E 3.0 4x,Français,325                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,300                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L14P-I5U16-N1-4,,Non,Non,2.0,2.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Non,,Intel Alder Lake-S,1.4                            kg,Intel Core i5,214.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Professionnel,Oui,,14                            pouces,16                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i5-1235U (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060410_0006172696_0006249236.jpg,819€95,https://www.ldlc.com/fiche/PB00686817.html,,,,,,,,,,,1,0,0,0,1,1,Core i5 1235U,1640,6601,Intel Iris Xe Graphics,1.0,1,819.95,8.050490883590463,0.0012195865601561
3,3,7.5                            Heure(s),Non,45                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 960 Go,"1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.0 Type C, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    RJ45 Femelle, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0",Gris,0.2                            W/kg,0.2                            W/kg,Non,Oui,SSD 960 Go,Sans disque secondaire,Consulter la documentation,Altyk L14P-I7U16-N1,Oui,Non,,17.9                            mm,,,Microsoft Windows 11,16/9,4.7                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L14,5 ans vendeur,Voir les modalités,Non,8.0,Non,M.2 - PCI-E NVMe,Français,325                            mm,Aucun,Oui,"micro SD, micro SDHC, micro SDXC",Français,300                            nit(s),"ALTYK

                      ALTYK",Intel,"Aluminium, ABS (Plastique)",Non,L14P-I7U16-N1-3,,Non,Non,2.0,2.0,10.0,1.0,,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Non,,Intel Alder Lake-S,1.4                            kg,Intel Core i7,214.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Professionnel,Oui,,14                            pouces,16                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i7-1255U (2 Performance-Core 4.7 GHz Turbo + 8 Efficient-Core 3.5 GHz Turbo- 12 Threads - Cache 12 Mo - TDP 12/55 W),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006193157.jpg,949€95,https://www.ldlc.com/fiche/PB00656397.html,,,,,,,,,,,1,0,0,1,1,1,Core i7 1255U,1656,8285,Intel Iris Xe Graphics,1.0,1,949.95,8.721511658508343,0.0010526869835254
4,4,7.5                            Heure(s),Non,45                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 1920 Go,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C",Gris,0.2                            W/kg,0.2                            W/kg,Non,Oui,SSD 1920 Go,Sans disque secondaire,Consulter la documentation,Altyk L14P-I7U32-N2,Oui,Non,,17.9                            mm,,,Microsoft Windows 11,16/9,4.7                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L14,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,8.0,Non,M.2 - PCI-E 3.0 4x,Français,325                            mm,Aucun,Oui,"micro SD, micro SDHC, micro SDXC",Français,300                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L14P-I7U32-N2-2,,Non,Non,2.0,2.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Non,,Intel Alder Lake-S,1.4                            kg,Intel Core i7,214.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Professionnel,Oui,,14                            pouces,32                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i7-1255U (2 Performance-cores 4.7 GHz + 8 Efficient-cores - 3.5 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006107390_0006107396_0006170818.jpg,1119€95,https://www.ldlc.com/fiche/PB00643996.html,,,,,,,,,,,1,0,0,0,1,1,Core i7 1255U,1656,8285,Intel Iris Xe Graphics,1.0,1,1119.95,7.39765168087861,0.0008928970043305
5,5,4.5                            Heure(s),Non,53                            Wh,Oui,,Intel UHD Graphics,Non,Oui,SSD 480 Go,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,0.17                            W/kg,0.17                            W/kg,Non,Oui,SSD 480 Go,Sans disque secondaire,Consulter la documentation,Altyk L15F-I3P16-N05,Oui,Non,,18                            mm,,,Microsoft Windows 11,16/9,4.4                            GHz,DDR4 3200 MHz,Intel HD,Altyk L15,5 ans vendeur,Voir les modalités,Non,7.7,Non,M.2 - PCI-E 3.0 4x,Français,359.5                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,250                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L15F-I3P16-N05-4,,Non,Non,2.0,3.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,,Intel Alder Lake-P,1.7                            kg,Intel Core i3,233.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Famille,Oui,,15.6                            pouces,16                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i3-1220P (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/06/04/LD0006060483_0006060489_0006060522_0006163327_0006201313.jpg,899€95,https://www.ldlc.com/fiche/PB00660674.html,,,,,,,,,,,1,0,0,0,1,0,Core i3 1220P,1525,7453,Intel UHD Graphics,1.0,1,899.95,8.281571198399911,0.0011111728429357
6,6,6.5                            Heure(s),Non,53                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 480 Go,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,,,Non,Oui,SSD 480 Go,Sans disque secondaire,,Altyk L15F-I5P16-N05,Oui,Non,,18                            mm,,,Microsoft Windows 11,16/9,4.4                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L15,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,7.9,Non,M.2 - PCI-E 3.0 4x,Français,359.5                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,250                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L15F-I5P16-N05-1,,Non,Non,2.0,3.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,,Intel Alder Lake-P,1.7                            kg,Intel Core i5,233.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Famille,Oui,,15.6                            pouces,16                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i5-1240P (4 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 16 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/06/04/LD0006060483_0006060503_0006253992.jpg,839€95,https://www.ldlc.com/fiche/PB00690458.html,,,,,,,,,,,1,0,0,0,1,0,Core i5 1240P,1510,9291,Intel Iris Xe Graphics,1.0,1,839.95,11.061372700755998,0.0011905470563724
7,7,4.5                            Heure(s),Non,53                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 960 Go,"1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, RJ45",Gris,0.17                            W/kg,0.17                            W/kg,Non,Oui,SSD 960 Go,Sans disque secondaire,,Altyk L15F-I5P32-N1,Oui,Non,,18                            mm,,,Microsoft Windows 11,16/9,4.4                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L15,5 ans vendeur,Voir les modalités,Non,8.0,Non,M.2 - PCI-E 3.0 4x,Français,359.5                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,250                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L15F-I5P32-N1-1,,Non,Non,2.0,3.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,,Intel Alder Lake-P,1.7                            kg,Intel Core i5,233.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Famille,Oui,,15.6                            pouces,32                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i5-1240P (4 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 16 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/06/04/LD0006060483_0006060503_0006109144_0006124518_0006201363_0006253397.jpg,929€95,https://www.ldlc.com/fiche/PB00690354.html,,,,,,,,,,,1,0,0,0,1,0,Core i5 1240P,1510,9291,Intel Iris Xe Graphics,1.0,1,929.95,9.990859723641057,0.001075326630464
8,8,4.5                            Heure(s),Non,53                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 1920 Go,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,0.17                            W/kg,0.17                            W/kg,Non,Oui,SSD 1920 Go,Sans disque secondaire,Consulter la documentation,Altyk L15F-I5P32-N2,Oui,Non,,18                            mm,,,Microsoft Windows 11,16/9,4.4                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L15,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,8.0,Non,M.2 - PCI-E 3.0 4x,Français,359.5                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,250                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L15F-I5P32-N2-2,,Non,Non,2.0,3.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,,Intel Alder Lake-P,1.7                            kg,Intel Core i5,233.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Famille,Oui,,15.6                            pouces,32                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i5-1240P (4 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 16 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/06/04/LD0006060483_0006060503_0006109144_0006124518.jpg,999€95,https://www.ldlc.com/fiche/PB00608808.html,,,,,,,,,,,1,0,0,0,1,0,Core i5 1240P,1510,9291,Intel Iris Xe Graphics,1.0,1,999.95,9.29146457322866,0.0010000500025001
9,9,6.5                            Heure(s),Non,53                            Wh,Oui,,Intel Iris Xe Graphics,Non,Oui,SSD 960 Go,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,,,Non,Oui,SSD 960 Go,Sans disque secondaire,Consulter la documentation,Altyk L15P-I5P16-N1,Oui,Non,,18                            mm,,,Microsoft Windows 11,16/9,4.4                            GHz,DDR4 3200 MHz,Intel Iris,Altyk L15,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,8.0,Non,M.2 - PCI-E 3.0 4x,Français,359.5                            mm,Aucun,Oui,"micro SD, micro SDHC, micro SDXC",Français,250                            nit(s),"ALTYK

                      ALTYK",Intel,Aluminium,Non,L15P-I5P16-N1-1,,Non,Non,2.0,3.0,10.0,1.0,1.0,0.0,AZERTY,10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,,Intel Alder Lake-P,1.7                            kg,Intel Core i5,233.8                            mm,1920 x 1080 pixels,Oui,Windows 11 Professionnel,Oui,,15.6                            pouces,16                            Go,64                            Go,,60 Hz,,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i5-1240P (4 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 16 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/06/04/LD0006060483.jpg,919€94,https://www.ldlc.com/fiche/PB00569063.html,,,,,,,,,,,1,0,0,0,1,1,Core i5 1240P,1510,9291,Intel Iris Xe Graphics,1.0,1,919.94,10.099571711198555,0.0010870274148314
10,10,,Non,63.5                            Wh,Oui,,Intel UHD Graphics,Non,Oui,SSD 480 Go,"2 X                                                                                                                                                                                                 
                                                                                    DisplayPort USB Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,,,Non,Oui,SSD 480 Go,Sans disque secondaire,Consulter la documentation,Altyk L16F-I3P16-N05,Oui,Non,,14                            mm,,,Microsoft Windows 11,16/10,4.4                            GHz,DDR4 3200 MHz,Intel UHD,Altyk L16,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,7.7,Non,M.2 - PCI-E 3.0 4x,Français,357                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,,"ALTYK

                      ALTYK",Intel,Aluminium,Non,L16F-I3P16-N05-1,,Non,Non,2.0,3.0,10.0,1.0,1.0,0.0,AZERTY,,Wi-Fi 6E,Non,Oui,,Intel Alder Lake-P,1.76                            kg,Intel Core i3,251                            mm,1920 x 1200 pixels,Oui,Windows 11 Famille,Oui,,16                            pouces,16                            Go,,,60 Hz,Bluetooth 5.3,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i3-1220P (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/25/37/LD0006253703.jpg,649€95,https://www.ldlc.com/fiche/PB00690422.html,,,,,,,,,,,1,0,0,0,1,1,Core i3 1220P,1525,7453,Intel UHD Graphics,1.0,1,649.95,11.467035925840449,0.0015385798907608
11,11,,Non,63.5                            Wh,Oui,,Intel UHD Graphics,Non,Oui,SSD 960 Go,"1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0, 2 X                                                                                                                                                                                                 
                                                                                    DisplayPort USB Type C",Gris,,,Non,Oui,SSD 960 Go,Sans disque secondaire,Consulter la documentation,Altyk L16F-I5P16-N1,Oui,Non,,14                            mm,,,Microsoft Windows 11,16/10,4.4                            GHz,,Intel UHD,Altyk L16,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,7.8,Non,M.2 - PCI-E 3.0 4x,Français,357                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,,"ALTYK

                      ALTYK",Intel,Aluminium,Non,L16F-I5P16-N1-1,,Non,Non,,3.0,10.0,1.0,1.0,,AZERTY,,Wi-Fi 6E,Non,Oui,,Intel Alder Lake-P,,Intel Core i5,251                            mm,1920 x 1200 pixels,Oui,Windows 11 Famille,Oui,,16                            pouces,16                            Go,,,60 Hz,Bluetooth 5.3,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i5-1240P (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/25/37/LD0006253792.jpg,749€95,https://www.ldlc.com/fiche/PB00690427.html,,,,,,,,,,,1,0,0,0,1,1,Core i5 1240P,1510,9291,Intel UHD Graphics,1.0,1,749.95,12.388825921728117,0.0013334222281485
12,12,,Non,63.5                            Wh,Oui,,Intel UHD Graphics,Non,Oui,SSD 1920 Go,"2 X                                                                                                                                                                                                 
                                                                                    DisplayPort USB Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,,,Non,Oui,SSD 1920 Go,Sans disque secondaire,Consulter la documentation,Altyk L16F-I5P32-N2,Oui,Non,,14                            mm,,,Microsoft Windows 11,16/10,4.4                            GHz,,Intel UHD,Altyk L16,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,8.0,Non,M.2 - PCI-E 3.0 4x,Français,357                            mm,Aucun,Oui,"micro SD, micro SDHC, micro SDXC",Français,,"ALTYK

                      ALTYK",Intel,Aluminium,Non,L16F-I5P32-N2-2,,Non,Non,,3.0,10.0,1.0,1.0,,AZERTY,,Wi-Fi 6E,Non,Oui,,Intel Alder Lake-P,1.76                            kg,Intel Core i5,251                            mm,1920 x 1200 pixels,Oui,Windows 11 Famille,Oui,,16                            pouces,32                            Go,,,60 Hz,Bluetooth 5.3,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i5-1240P (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/25/38/LD0006253825_0006255073.jpg,929€95,https://www.ldlc.com/fiche/PB00691018.html,,,,,,,,,,,1,0,0,0,1,1,Core i5 1240P,1510,9291,Intel UHD Graphics,1.0,1,929.95,9.990859723641057,0.001075326630464
13,13,,Non,63.5                            Wh,Oui,,Intel UHD Graphics,Non,Oui,SSD 480 Go,"2 X                                                                                                                                                                                                 
                                                                                    DisplayPort USB Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Gris,,,Non,Oui,SSD 480 Go,Sans disque secondaire,Consulter la documentation,Altyk L16P-I3P16-N05,Oui,Non,,14                            mm,,,Microsoft Windows 11,16/10,4.4                            GHz,DDR4 3200 MHz,Intel UHD,Altyk L16,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Non,7.8,Non,M.2 - PCI-E 3.0 4x,Français,357                            mm,Aucun,Oui,"micro SDXC, micro SDHC, micro SD",Français,,"ALTYK

                      ALTYK",Intel,Aluminium,Non,L16P-I3P16-N05-1,,Non,Non,2.0,3.0,10.0,1.0,1.0,0.0,AZERTY,,Wi-Fi 6E,Non,Oui,,Intel Alder Lake-P,1.76                            kg,Intel Core i3,251                            mm,1920 x 1200 pixels,Oui,Windows 11 Professionnel,Oui,,16                            pouces,16                            Go,,,60 Hz,Bluetooth 5.3,Non,LED,Dalle IPS,SSD (Solid State Drive),Intégrés,DDR4,Intel Core i3-1220P (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),,Non,Non,Oui,https://media.ldlc.com/r1600/ld/products/00/06/25/38/LD0006253835.jpg,719€95,https://www.ldlc.com/fiche/PB00690429.html,,,,,,,,,,,1,0,0,0,1,1,Core i3 1220P,1525,7453,Intel UHD Graphics,1.0,1,719.95,10.352107785262865,0.0013889853462045
